,IC50,Label
0,-0.196658148349466,0
1,0.41137212231951603,0
2,0.564356300762208,0
3,0.5872334879287979,0
4,0.613259207623753,0
5,0.82941130858347,0
6,0.848932849330265,0
7,1.04982661161704,0
8,1.15092154505584,0
9,1.1722443768146,0
10,1.36467015446524,0
11,1.3907121815257002,0
12,1.4685283484405203,0
13,1.4989987861645901,0
14,1.53479709724068,0
15,1.57037662969316,0
16,1.65531140937239,0
17,1.66509842110076,0
18,1.7255064353471599,0
19,1.80134557079992,0
20,1.8252022635126999,0
21,1.8642705476521297,0
22,1.96107652391207,0
23,1.96410264885324,0
24,2.0149747460011698,0
25,2.03649159729785,0
26,2.08417410714293,0
27,2.11105062006333,0
28,2.2347540260754304,0
29,2.50064964171999,1
30,2.70755875996581,1
31,2.7605352301940695,1
32,2.8286765038427104,1
33,2.85837502371866,1
34,2.9040316428267596,1
35,2.99104125878134,1
36,3.0190585606863,1
37,3.0415695439763097,1
38,3.10128257843602,1
39,3.92140680597879,1
40,4.12085354008911,1
41,4.45177928492408,1
42,6.22711098456913,1
